"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Wary Thespian","G","C","127578","5.35","19243","6.83","102215","84.1%","57.4%","18713","59.6%","23174","56.5%","41887","57.9%","60194","56.9%","1.0pp"
"Wildwood Scourge","G","U","40021","3.90","5138","4.91","25790","83.1%","54.2%","4547","53.7%","5932","54.3%","10479","54.1%","15254","54.1%","-0.1pp"
"Balmor, Battlemage Captain","UR","U","47411","4.54","6353","5.14","24574","63.9%","55.3%","4263","57.2%","6438","57.2%","10701","57.2%","13877","53.8%","3.4pp"
"Consuming Aberration","UB","R","6120","1.60","1867","1.61","8950","78.4%","53.6%","1564","50.1%","2632","58.0%","4196","55.1%","4754","52.2%","2.8pp"
"Empyrean Eagle","WU","U","26556","2.62","6207","2.84","31626","81.0%","58.2%","5536","60.9%","8796","61.4%","14332","61.2%","17131","55.6%","5.6pp"
"Good-Fortune Unicorn","WG","U","35496","3.34","3816","3.95","17075","75.1%","53.3%","3023","54.6%","3883","52.5%","6906","53.4%","10087","53.2%","0.3pp"
"Heroic Reinforcements","WR","U","32010","3.06","3002","3.58","11932","65.2%","53.9%","2002","53.7%","2586","56.7%","4588","55.4%","7343","53.1%","2.3pp"
"Lathril, Blade of the Elves","BG","R","9458","2.23","1852","2.29","7136","65.1%","51.3%","1214","50.7%","1777","51.7%","2991","51.3%","4151","51.2%","0.1pp"
"Muldrotha, the Gravetide","UBG","M","2902","1.54","1058","1.48","4518","72.3%","51.2%","748","49.7%","1281","58.7%","2029","55.4%","2472","47.6%","7.8pp"
"Progenitus","WUBRG","M","5916","2.63","517","3.10","136","4.3%","","25","","44","","69","","75","",""
"Ruby, Daring Tracker","RG","U","43049","4.09","4965","4.68","21348","68.3%","58.2%","3694","60.0%","4473","57.9%","8167","58.9%","13170","57.7%","1.2pp"
"Swiftblade Vindicator","WR","R","4516","1.26","605","1.26","2089","60.4%","51.5%","401","","422","","823","52.2%","1247","51.1%","1.2pp"
"Tatyova, Benthic Druid","UG","U","32765","3.17","5731","3.70","26214","75.7%","53.2%","4414","52.6%","7014","56.1%","11428","54.7%","14742","51.9%","2.8pp"
"Thousand-Year Storm","UR","R","12637","2.78","739","3.31","637","14.4%","44.0%","110","","183","","293","","344","",""
"Adventuring Gear","","U","56979","7.02","5168","10.11","3755","11.8%","49.0%","648","41.0%","870","49.2%","1518","45.7%","2237","51.2%","-5.5pp"
"Burnished Hart","","U","56979","6.92","10265","8.99","21672","34.6%","50.7%","3962","47.6%","5194","49.8%","9156","48.9%","12464","52.0%","-3.1pp"
"Campus Guide","","C","143328","7.06","21690","9.42","51421","37.9%","53.9%","9861","54.0%","12011","52.5%","21872","53.2%","29411","54.3%","-1.1pp"
"Gleaming Barrier","","C","144679","8.55","18602","11.43","15246","13.0%","50.2%","2790","46.2%","3635","48.2%","6425","47.3%","8785","52.3%","-5.0pp"
"Goldvein Pick","","C","140520","6.24","22628","8.40","77476","54.0%","56.4%","13495","56.5%","18990","56.2%","32485","56.3%","44940","56.4%","-0.1pp"
"Heraldic Banner","","U","52777","5.22","8835","6.89","32113","58.2%","55.7%","5758","56.0%","7554","55.4%","13312","55.6%","18793","55.7%","-0.1pp"
"Juggernaut","","U","55807","6.07","4491","8.97","7154","25.9%","53.6%","1195","50.0%","1653","52.3%","2848","51.3%","4311","55.1%","-3.7pp"
"Meteor Golem","","U","52869","5.26","9086","7.06","36129","63.4%","56.3%","6013","53.3%","9431","60.1%","15444","57.5%","20622","55.4%","2.1pp"
"Solemn Simulacrum","","R","3884","1.13","2123","1.14","12681","96.2%","56.9%","2162","60.5%","3273","59.4%","5435","59.8%","7216","54.7%","5.2pp"
"Swiftfoot Boots","","U","58788","8.43","12132","10.70","10072","13.2%","48.7%","1678","41.7%","2332","46.4%","4010","44.4%","6062","51.5%","-7.1pp"
"Bloodfell Caves","","C","57813","4.34","3972","6.24","16159","65.0%","56.9%","3070","58.9%","3546","54.5%","6616","56.6%","9537","57.2%","-0.6pp"
"Blossoming Sands","","C","61444","4.57","3424","6.83","12864","61.6%","54.6%","2395","56.8%","2872","51.7%","5267","54.0%","7585","55.0%","-1.0pp"
"Dismal Backwater","","C","61955","4.69","8476","6.31","41440","77.1%","57.4%","7571","59.8%","11214","57.8%","18785","58.6%","22613","56.4%","2.2pp"
"Evolving Wilds","","C","105109","3.96","15200","5.66","88564","93.3%","56.9%","16521","58.2%","21519","56.5%","38040","57.2%","50446","56.7%","0.5pp"
"Jungle Hollow","","C","64994","5.07","5892","7.11","21994","60.3%","54.0%","4064","56.3%","5156","53.0%","9220","54.5%","12756","53.5%","0.9pp"
"Rogue's Passage","","U","55461","6.04","6785","8.36","28069","65.3%","56.7%","4650","56.3%","6848","58.4%","11498","57.5%","16544","56.0%","1.5pp"
"Rugged Highlands","","C","61847","4.71","3130","6.77","12373","64.0%","56.4%","2356","57.3%","2629","53.1%","4985","55.1%","7382","57.4%","-2.3pp"
"Scoured Barrens","","C","57988","4.23","5365","6.11","23658","70.7%","55.7%","4300","56.7%","5625","54.7%","9925","55.6%","13721","55.8%","-0.2pp"
"Secluded Courtyard","","U","57717","8.43","8484","11.37","4764","8.7%","51.3%","905","49.6%","1104","52.0%","2009","50.9%","2753","51.5%","-0.6pp"
"Swiftwater Cliffs","","C","61310","4.69","3785","6.74","13836","58.5%","55.6%","2660","58.9%","3470","55.9%","6130","57.2%","7687","54.4%","2.9pp"
"Thornwood Falls","","C","65581","5.11","5917","6.98","23599","64.3%","54.8%","4340","57.3%","6026","56.5%","10366","56.8%","13195","53.1%","3.7pp"
"Tranquil Cove","","C","58117","4.27","4953","6.08","22297","72.2%","56.4%","4067","59.3%","5809","55.6%","9876","57.1%","12390","55.8%","1.4pp"
"Wind-Scarred Crag","","C","57899","4.25","2344","6.33","8321","58.7%","53.7%","1509","54.6%","1821","51.5%","3330","52.9%","4989","54.3%","-1.3pp"
"Condemn","W","U","1030","2.63","230","3.10","1196","83.9%","57.0%","219","","292","","511","55.2%","675","58.4%","-3.2pp"
"Sphinx's Tutelage","U","U","1987","4.97","401","6.05","1468","61.6%","55.2%","228","","434","","662","58.0%","803","53.1%","5.0pp"
"Grim Tutor","B","M","881","2.42","123","","219","28.6%","","45","","50","","95","","124","",""
"Goblin Bushwhacker","R","C","1930","4.86","205","6.34","723","57.9%","52.8%","133","","165","","298","","425","",""
"Embercleave","R","M","311","1.09","189","","1108","87.4%","61.8%","191","","233","","424","","684","58.0%",""
"Paradise Druid","G","U","1065","2.65","257","3.18","1430","89.0%","56.0%","272","","296","","568","59.2%","861","53.9%","5.3pp"
"Bloom Tender","G","R","541","1.71","112","","529","82.4%","52.6%","103","","121","","224","","305","",""
"Akroma's Memorial","","M","445","1.45","219","1.46","1123","85.5%","56.3%","182","","283","","465","","649","55.2%",""
"Temporal Manipulation","U","M","432","1.29","144","","666","82.1%","52.0%","103","","198","","301","","366","",""
"Fiend Artisan","BG","M","500","1.50","227","1.53","1199","87.8%","56.0%","214","","301","","515","57.9%","681","54.6%","3.2pp"
