"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Courageous Goblin","R","C","103295","4.11","5035","6.13","23617","74.2%","57.6%","4306","59.0%","4953","54.6%","9259","56.7%","14323","58.2%","-1.5pp"
"Crackling Cyclops","R","C","142490","7.88","11108","11.65","7793","11.0%","50.6%","1303","50.3%","1839","48.1%","3142","49.0%","4642","51.6%","-2.6pp"
"Dragon Trainer","R","U","31258","3.12","5263","3.77","26690","80.9%","57.2%","4549","56.5%","6190","58.8%","10739","57.8%","15893","56.7%","1.1pp"
"Electroduplicate","R","R","10836","2.54","686","2.94","1192","29.3%","49.2%","183","","280","","463","","731","50.8%",""
"Fiery Annihilation","R","U","21860","2.34","5258","2.64","28673","86.6%","58.5%","4957","59.5%","6717","62.1%","11674","61.0%","16993","56.7%","4.3pp"
"Goblin Boarders","R","C","137830","6.56","15481","8.77","57344","58.5%","56.7%","9725","56.5%","12323","55.1%","22048","55.7%","35294","57.2%","-1.5pp"
"Goblin Negotiation","R","U","55669","6.95","7483","9.41","12494","26.4%","54.1%","2037","51.8%","2848","55.6%","4885","54.0%","7609","54.1%","-0.1pp"
"Gorehorn Raider","R","C","96387","3.80","6670","5.38","32607","77.1%","58.4%","5268","57.7%","7325","60.3%","12593","59.2%","20014","57.9%","1.3pp"
"Incinerating Blast","R","C","138215","6.56","13273","9.25","34520","41.3%","54.4%","5690","51.5%","7881","54.8%","13571","53.4%","20946","55.1%","-1.7pp"
"Kellan, Planar Trailblazer","R","R","4062","1.15","1630","1.15","8136","79.4%","56.8%","1571","65.1%","1801","56.4%","3372","60.4%","4760","54.3%","6.1pp"
"Rite of the Dragoncaller","R","M","5611","2.59","1245","2.66","3746","51.6%","49.0%","638","47.8%","973","49.3%","1611","48.7%","2136","49.1%","-0.4pp"
"Searslicer Goblin","R","R","3552","1.03","1600","1.03","8491","84.1%","58.4%","1604","64.9%","1971","59.3%","3575","61.8%","4902","56.0%","5.8pp"
"Slumbering Cerberus","R","U","26139","2.70","2497","3.40","13919","87.5%","58.7%","2455","61.4%","2928","58.7%","5383","59.9%","8542","58.0%","2.0pp"
"Sower of Chaos","R","C","143014","7.88","15043","10.95","22166","22.9%","57.2%","3669","53.7%","4775","57.7%","8444","55.9%","13742","58.0%","-2.1pp"
"Strongbox Raider","R","U","34429","3.37","3805","4.40","19115","79.7%","57.7%","3213","57.1%","4189","58.9%","7402","58.1%","11714","57.4%","0.7pp"
"Twinflame Tyrant","R","M","2034","1.15","1227","1.13","6161","79.8%","57.9%","1054","61.6%","1456","63.2%","2510","62.5%","3658","54.6%","7.9pp"
"Ambush Wolf","G","C","142882","7.70","28748","9.33","105883","57.7%","57.3%","18607","58.0%","24089","57.3%","42696","57.6%","63101","57.1%","0.5pp"
"Apothecary Stomper","G","C","142735","7.79","21795","10.19","44689","32.2%","54.9%","7201","52.6%","10413","56.0%","17614","54.6%","27035","55.0%","-0.4pp"
"Beast-Kin Ranger","G","C","127454","5.35","18438","6.85","95580","81.8%","57.6%","17140","59.4%","21416","57.0%","38556","58.1%","56959","57.2%","0.9pp"
"Cackling Prowler","G","C","135573","6.17","19867","7.92","83932","67.3%","56.3%","14206","56.2%","18890","56.7%","33096","56.5%","50756","56.2%","0.3pp"
"Eager Trufflesnout","G","U","36442","3.57","5649","4.54","31606","89.0%","57.6%","5614","59.5%","7285","58.1%","12899","58.7%","18692","56.7%","2.0pp"
"Elfsworn Giant","G","C","140681","6.95","21022","8.89","71527","54.1%","55.1%","11867","52.4%","16726","56.0%","28593","54.5%","42892","55.5%","-1.0pp"
"Elvish Regrower","G","U","25965","2.65","6257","3.09","36527","93.0%","57.6%","6103","57.2%","8567","60.8%","14670","59.3%","21745","56.3%","3.0pp"
"Felling Blow","G","U","26055","2.64","6361","3.10","37189","91.9%","58.1%","6249","60.0%","8816","62.6%","15065","61.5%","22115","55.8%","5.7pp"
"Loot, Exuberant Explorer","G","R","4628","1.30","1769","1.32","9186","85.9%","55.5%","1593","58.8%","2149","56.4%","3742","57.4%","5424","54.1%","3.3pp"
"Mossborn Hydra","G","R","4628","1.32","1906","1.34","10240","86.3%","56.5%","1800","58.2%","2452","58.9%","4252","58.6%","5983","54.8%","3.8pp"
"Needletooth Pack","G","U","30399","3.04","4194","3.78","22985","89.0%","55.9%","3721","53.7%","5441","57.4%","9162","55.9%","13806","55.8%","0.2pp"
"Preposterous Proportions","G","R","5247","1.41","613","1.46","2361","65.7%","54.3%","384","","553","57.9%","937","55.6%","1426","53.4%","2.2pp"
"Quakestrider Ceratops","G","U","53551","6.08","7085","8.17","18918","42.9%","54.1%","3169","50.2%","4359","56.3%","7528","53.7%","11397","54.2%","-0.4pp"
"Quilled Greatwurm","G","M","2344","1.31","1252","1.32","6604","85.3%","56.1%","1081","55.8%","1666","60.5%","2747","58.6%","3845","54.0%","4.7pp"
"Spinner of Souls","G","R","3699","1.07","2121","1.07","12349","90.1%","58.3%","2248","64.9%","2969","64.3%","5217","64.6%","7147","53.7%","10.9pp"
"Sylvan Scavenging","G","R","3960","1.15","2185","1.15","12530","89.4%","59.0%","2167","67.4%","2983","63.2%","5150","65.0%","7372","54.7%","10.3pp"
"Treetop Snarespinner","G","C","127297","5.35","22487","6.69","112210","79.6%","56.3%","18777","55.9%","27029","58.0%","45806","57.2%","66147","55.6%","1.6pp"
"Alesha, Who Laughs at Fate","BR","R","3639","1.06","1994","1.06","10670","85.5%","58.5%","1819","65.1%","2666","63.4%","4485","64.1%","6192","54.4%","9.7pp"
"Anthem of Champions","WG","R","4499","1.25","1142","1.25","4920","72.1%","54.3%","857","57.8%","1151","55.7%","2008","56.6%","2911","52.7%","3.9pp"
"Ashroot Animist","RG","R","4126","1.16","1446","1.14","6856","76.7%","57.6%","1189","60.6%","1579","59.8%","2768","60.2%","4086","55.9%","4.3pp"
"Dreadwing Scavenger","UB","U","37234","3.49","12264","3.76","68164","85.6%","59.8%","12092","63.9%","20279","64.2%","32371","64.1%","35751","55.9%","8.2pp"
"Elenda, Saint of Dusk","WB","R","3600","1.06","2153","1.06","11787","86.2%","57.3%","2123","62.8%","2964","63.1%","5087","63.0%","6673","52.9%","10.1pp"
"Fiendish Panda","WB","U","32355","3.10","5706","3.70","27230","77.8%","55.3%","4627","54.1%","6604","56.6%","11231","55.6%","16020","55.0%","0.5pp"
"Koma, World-Eater","UG","R","5242","1.44","2519","1.43","12129","78.4%","55.8%","2052","59.2%","3415","62.9%","5467","61.5%","6653","51.1%","10.3pp"
"Kykar, Zephyr Awakener","WU","R","4325","1.20","2074","1.20","10266","80.9%","56.1%","1725","60.5%","2979","59.4%","4704","59.8%","5588","53.0%","6.8pp"
"Niv-Mizzet, Visionary","UR","M","4868","2.28","1098","2.29","2901","46.2%","48.9%","483","","790","49.1%","1273","47.4%","1641","49.8%","-2.5pp"
"Perforating Artist","BR","U","36521","3.45","6546","3.85","30404","74.4%","58.2%","5369","62.2%","6973","60.0%","12342","61.0%","18075","56.3%","4.7pp"
"Wardens of the Cycle","BG","U","49787","4.89","6897","5.93","26361","63.3%","53.6%","4367","52.7%","6488","55.9%","10855","54.6%","15478","52.8%","1.8pp"
"Zimone, Paradox Sculptor","UG","M","2077","1.21","1451","1.21","7925","88.5%","58.0%","1351","65.4%","2171","62.7%","3522","63.8%","4389","53.2%","10.6pp"
"Banner of Kinship","","R","13037","2.87","1520","3.33","2843","31.0%","49.6%","454","","678","48.4%","1132","46.6%","1711","51.6%","-5.0pp"
"Fishing Pole","","U","58014","9.70","13958","12.17","2239","2.5%","49.9%","380","","507","42.2%","887","43.3%","1352","54.2%","-10.9pp"
"Leyline Axe","","R","4272","1.19","3132","1.19","19674","97.0%","59.3%","3789","68.5%","4870","59.5%","8659","63.4%","10987","56.0%","7.5pp"
"Quick-Draw Katana","","C","144830","9.24","25595","11.91","18016","10.8%","54.1%","3065","51.2%","4049","53.3%","7114","52.4%","10900","55.1%","-2.7pp"
"Ravenous Amulet","","U","57958","9.15","15118","11.13","14020","14.4%","54.8%","2434","51.4%","3523","53.7%","5957","52.7%","8053","56.3%","-3.5pp"
"Scrawling Crawler","","R","4381","1.25","2620","1.24","16303","98.3%","58.1%","2906","60.3%","4274","62.0%","7180","61.3%","9143","55.6%","5.7pp"
"Soulstone Sanctuary","","R","5081","1.38","1188","1.41","6968","93.3%","56.8%","1179","56.1%","1763","60.6%","2942","58.8%","4023","55.4%","3.4pp"
"Ajani, Caller of the Pride","W","M","1947","1.14","1264","1.14","6472","84.9%","55.5%","1163","57.1%","1630","58.1%","2793","57.7%","3677","53.8%","3.9pp"
"Ajani's Pridemate","W","U","22804","2.33","5310","2.70","28290","87.5%","55.7%","5291","57.6%","6675","54.9%","11966","56.1%","16094","55.3%","0.8pp"
"Angel of Finality","W","U","30986","3.06","5498","3.85","29517","86.5%","56.4%","4904","56.2%","7437","57.7%","12341","57.1%","17222","55.8%","1.3pp"
"Authority of the Consuls","W","R","7857","1.97","1198","2.13","4489","64.8%","51.6%","800","52.3%","1061","50.0%","1861","50.9%","2625","52.0%","-1.1pp"
"Banishing Light","W","C","55744","2.34","14375","2.81","79998","89.6%","56.8%","13720","56.4%","20292","58.9%","34012","57.9%","45953","56.0%","1.9pp"
"Cathar Commando","W","C","86571","3.34","8333","4.79","45061","87.1%","56.4%","8147","57.4%","10784","55.6%","18931","56.4%","26118","56.4%","-0.0pp"
"Day of Judgment","W","R","4116","1.13","2065","1.13","10230","81.0%","56.5%","1756","56.0%","2689","62.2%","4445","59.7%","5773","53.9%","5.8pp"
"Giada, Font of Hope","W","R","3609","1.06","1855","1.06","10076","86.7%","58.0%","1865","64.0%","2542","60.5%","4407","62.0%","5608","54.8%","7.2pp"
"Healer's Hawk","W","C","68936","2.78","14041","3.44","79770","90.7%","57.0%","14690","62.0%","19040","55.7%","33730","58.4%","45475","55.9%","2.6pp"
"Make Your Move","W","C","121486","4.84","14495","6.77","64910","72.1%","55.7%","10656","53.4%","16120","57.2%","26776","55.7%","38126","55.6%","0.1pp"
"Mischievous Pup","W","U","48794","4.84","6086","6.66","21721","59.4%","53.7%","3618","51.7%","5322","53.2%","8940","52.6%","12780","54.6%","-2.0pp"
"Resolute Reinforcements","W","U","31016","3.03","4057","4.02","20548","84.2%","54.9%","3709","54.2%","4862","53.1%","8571","53.6%","11849","55.9%","-2.3pp"
"Savannah Lions","W","U","43600","4.16","3594","5.88","14969","67.8%","55.1%","2717","57.7%","3266","51.8%","5983","54.5%","8891","55.4%","-0.9pp"
"Serra Angel","W","U","24726","2.57","4785","3.13","25898","88.8%","55.2%","4269","54.0%","6620","57.0%","10889","55.8%","15051","54.8%","1.0pp"
"Stroke of Midnight","W","U","55243","6.33","9321","8.13","28259","49.5%","53.4%","4623","50.0%","6970","54.3%","11593","52.6%","16669","54.0%","-1.4pp"
"Youthful Valkyrie","W","U","32064","3.08","6493","3.73","33009","82.9%","55.9%","6079","56.9%","8063","55.0%","14142","55.8%","18629","55.8%","0.0pp"
"Aegis Turtle","U","C","144664","9.17","25771","11.91","14902","9.0%","51.2%","2612","50.1%","3840","50.6%","6452","50.4%","8405","51.7%","-1.3pp"
"Aetherize","U","U","53447","6.09","7508","8.04","17463","37.5%","52.3%","2882","49.8%","4730","54.0%","7612","52.4%","9837","52.2%","0.2pp"
"Brineborn Cutthroat","U","U","42789","4.38","9406","5.43","49528","84.1%","56.9%","8905","57.7%","13493","57.3%","22398","57.5%","27037","56.5%","1.0pp"
"Essence Scatter","U","U","34341","3.40","9916","3.99","59118","93.4%","58.3%","10350","60.3%","16610","60.3%","26960","60.3%","32090","56.5%","3.8pp"
"Extravagant Replication","U","R","6275","1.63","1621","1.65","7828","80.0%","53.2%","1288","50.7%","2270","55.9%","3558","54.0%","4262","52.4%","1.7pp"
"Fleeting Distraction","U","C","140729","7.10","34885","8.61","138736","62.3%","56.8%","24109","54.8%","37295","58.3%","61404","56.9%","72184","56.2%","0.7pp"
"Imprisoned in the Moon","U","U","57349","7.86","16071","9.34","36062","35.8%","53.0%","6085","49.0%","10060","56.0%","16145","53.4%","19890","52.8%","0.6pp"
"Lightshell Duo","U","C","143508","7.97","35308","9.73","96817","42.5%","57.3%","16472","56.6%","27746","58.8%","44218","58.0%","52561","56.7%","1.3pp"
"Micromancer","U","U","32041","3.18","8964","3.67","44646","78.3%","59.3%","7572","59.5%","12845","62.3%","20417","61.3%","24162","57.5%","3.7pp"
"Mocking Sprite","U","C","135369","6.32","16482","8.68","45133","44.3%","52.9%","7828","51.2%","12020","53.4%","19848","52.5%","25191","53.2%","-0.7pp"
"An Offer You Can't Refuse","U","U","58856","9.15","12641","11.66","3593","4.3%","49.9%","603","49.3%","960","49.3%","1563","49.3%","1920","49.4%","-0.2pp"
"Omniscience","U","M","5486","2.54","486","3.01","100","3.4%","","10","","28","","38","","62","",""
"Run Away Together","U","C","142966","8.04","27900","10.29","46090","26.0%","53.6%","7793","49.6%","12663","55.2%","20456","53.0%","25596","54.1%","-1.0pp"
"Self-Reflection","U","U","55926","7.06","9890","9.37","16067","25.5%","56.0%","2605","53.5%","4483","59.3%","7088","57.2%","8945","54.9%","2.2pp"
"Spectral Sailor","U","U","26970","2.73","9376","3.13","57263","95.2%","58.5%","10288","60.8%","15864","60.1%","26152","60.4%","30961","56.9%","3.4pp"
"Think Twice","U","C","138561","6.11","40957","7.20","216090","82.9%","57.6%","38360","57.1%","58482","59.8%","96842","58.7%","118989","56.7%","2.1pp"
"Time Stop","U","R","8843","2.17","1027","2.39","3294","54.4%","52.2%","494","","912","52.0%","1406","51.0%","1888","53.0%","-2.0pp"
"Tolarian Terror","U","C","111817","4.53","14927","6.11","64020","70.0%","54.6%","10758","51.7%","18307","56.0%","29065","54.4%","34943","54.8%","-0.4pp"
"Witness Protection","U","C","141459","7.14","31017","8.90","105735","54.2%","54.9%","18276","52.8%","29252","57.0%","47528","55.4%","58152","54.4%","1.0pp"
"Bake into a Pie","B","C","74671","2.99","26916","3.50","161787","94.4%","58.2%","27415","57.4%","43625","62.4%","71040","60.5%","90442","56.3%","4.2pp"
"Burglar Rat","B","C","106448","4.17","24990","5.40","145990","91.7%","58.0%","26697","58.8%","37142","59.4%","63839","59.1%","81687","57.1%","2.1pp"
"Diregraf Ghoul","B","U","50959","5.52","7662","7.51","28946","59.3%","57.0%","5317","61.1%","6737","54.3%","12054","57.3%","16832","56.7%","0.6pp"
"Eaten Alive","B","C","75439","3.00","17312","3.78","103693","94.1%","57.8%","17496","56.0%","26846","61.1%","44342","59.1%","56673","56.3%","2.8pp"
"Exsanguinate","B","U","57814","9.03","13744","11.21","8710","9.8%","51.5%","1440","46.9%","2048","53.0%","3488","50.5%","5211","52.2%","-1.7pp"
"Fake Your Own Death","B","C","143077","7.75","36207","9.47","118667","50.9%","57.2%","19775","57.3%","29593","59.4%","49368","58.6%","69264","56.3%","2.3pp"
"Hero's Downfall","B","U","24869","2.52","10169","2.87","60368","94.2%","57.6%","10170","57.3%","15902","60.8%","26072","59.4%","34206","56.1%","3.3pp"
"Liliana, Dreadhorde General","B","M","1735","1.04","1535","1.04","9362","93.8%","60.2%","1643","66.6%","2586","68.2%","4229","67.6%","5078","53.8%","13.7pp"
"Macabre Waltz","B","C","142675","7.81","26282","10.19","52146","31.0%","54.8%","8579","50.3%","13265","55.8%","21844","53.7%","30294","55.6%","-2.0pp"
"Marauding Blight-Priest","B","C","140942","6.95","23400","9.12","63041","42.9%","54.5%","10825","53.1%","14886","54.2%","25711","53.7%","37333","55.0%","-1.3pp"
"Painful Quandary","B","R","10842","2.58","1214","2.92","3809","52.2%","51.0%","647","48.2%","947","52.1%","1594","50.5%","2207","51.3%","-0.8pp"
"Phyrexian Arena","B","R","4487","1.28","1466","1.28","7778","86.3%","55.4%","1338","57.0%","2018","56.4%","3356","56.6%","4419","54.5%","2.2pp"
"Pilfer","B","C","140881","7.01","22789","9.25","60290","41.3%","56.9%","10705","57.1%","15565","56.9%","26270","57.0%","33995","56.9%","0.1pp"
"Reassembling Skeleton","B","U","46624","4.68","9168","5.98","44329","78.7%","55.5%","7909","52.6%","10776","56.0%","18685","54.6%","25556","56.1%","-1.5pp"
"Rise of the Dark Realms","B","M","4278","2.16","941","2.30","3293","59.4%","53.2%","570","47.9%","929","58.7%","1499","54.6%","1780","51.9%","2.7pp"
"Rune-Scarred Demon","B","R","4247","1.19","2023","1.20","11439","90.4%","56.6%","1898","53.3%","3093","62.9%","4991","59.3%","6436","54.6%","4.7pp"
"Stromkirk Bloodthief","B","U","48836","5.09","7970","6.67","32587","65.7%","55.0%","5574","54.7%","8012","55.6%","13586","55.2%","18955","54.9%","0.4pp"
"Vampire Nighthawk","B","U","20294","2.15","9649","2.36","58469","94.9%","58.1%","10325","60.6%","15361","61.3%","25686","61.0%","32679","55.7%","5.3pp"
"Zombify","B","U","49132","5.09","7965","6.69","25937","52.1%","54.9%","4427","50.5%","6590","56.9%","11017","54.3%","14867","55.2%","-0.9pp"
"Abrade","R","U","24678","2.52","5430","2.96","29717","87.6%","57.4%","5278","58.2%","6921","59.2%","12199","58.8%","17511","56.5%","2.3pp"
"Axgard Cavalry","R","C","125500","5.34","6330","7.96","23037","56.7%","56.7%","4148","55.2%","4848","53.5%","8996","54.3%","13995","58.2%","-4.0pp"
"Brass's Bounty","R","R","10851","2.56","338","3.29","64","3.2%","","13","","12","","25","","39","",""
"Brazen Scourge","R","U","39995","3.99","3533","5.25","15189","70.8%","55.1%","2720","55.4%","3242","53.8%","5962","54.5%","9235","55.5%","-1.0pp"
"Burst Lightning","R","C","61189","2.55","12659","2.98","69880","86.9%","58.4%","12298","59.7%","15887","60.1%","28185","59.9%","40462","57.1%","2.8pp"
"Drakuseth, Maw of Flames","R","R","4595","1.28","1178","1.29","5203","74.9%","53.8%","862","51.4%","1226","55.6%","2088","53.9%","3106","53.7%","0.2pp"
"Etali, Primal Storm","R","R","4551","1.29","1716","1.28","8262","80.2%","54.3%","1352","55.0%","1954","55.9%","3306","55.6%","4952","53.4%","2.2pp"
"Fanatical Firebrand","R","C","130100","5.70","8854","8.19","28799","52.4%","54.7%","5209","55.9%","5951","53.5%","11160","54.6%","17585","54.7%","-0.1pp"
"Firebrand Archer","R","C","141608","7.42","16666","9.91","40817","39.3%","53.0%","7485","51.8%","9115","51.2%","16600","51.5%","24133","54.0%","-2.6pp"
