"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Exosuit Savior","W","C","389905","6.10","49481","8.99","133736","44.8%","53.5%","22808","49.8%","33954","54.2%","56762","52.4%","76677","54.1%","-1.7pp"
"Flight-Deck Coordinator","W","C","405344","6.69","45971","10.06","83936","30.0%","54.4%","14809","54.8%","20601","54.8%","35410","54.8%","48427","54.1%","0.7pp"
"Focus Fire","W","C","320768","4.65","59990","6.30","298293","80.8%","55.8%","51345","55.2%","74843","58.1%","126188","56.9%","170912","55.0%","1.9pp"
"Haliya, Guided by Light","W","R","17979","1.85","9248","1.85","51368","90.1%","56.7%","8971","59.4%","12835","60.4%","21806","60.0%","28206","53.4%","6.6pp"
"Hardlight Containment","W","R","38787","3.63","5984","4.87","17612","49.8%","51.3%","2965","48.9%","4437","54.2%","7402","52.1%","10138","50.7%","1.3pp"
"Honor","W","U","122628","4.45","21328","6.09","97780","75.1%","55.4%","16669","55.6%","24558","56.5%","41227","56.1%","56212","54.8%","1.3pp"
"Honored Knight-Captain","W","U","107574","3.91","23030","5.07","114009","81.2%","55.5%","20665","56.4%","27567","56.6%","48232","56.5%","65527","54.7%","1.9pp"
"Knight Luminary","W","C","305891","4.45","64845","5.81","337615","84.4%","56.3%","60471","57.4%","83649","57.6%","144120","57.5%","192476","55.3%","2.3pp"
"Lightstall Inquisitor","W","R","32304","2.96","8439","3.53","42846","82.5%","56.4%","7655","61.7%","9930","54.9%","17585","57.9%","22377","54.5%","3.3pp"
"Lumen-Class Frigate","W","R","15629","1.61","9809","1.58","55260","90.8%","56.6%","9993","62.5%","13869","58.5%","23862","60.2%","30489","53.5%","6.7pp"
"Luxknight Breacher","W","C","396390","6.54","39156","10.14","59237","25.2%","51.3%","9756","49.0%","14533","52.3%","24289","51.0%","34954","51.5%","-0.5pp"
"Pinnacle Starcage","W","R","45435","4.26","5401","6.51","6865","21.5%","48.9%","1160","45.7%","1658","48.6%","2818","47.4%","4027","50.2%","-2.8pp"
"Pulsar Squadron Ace","W","U","108589","3.94","22317","5.18","109706","80.8%","55.1%","19902","55.9%","26621","55.0%","46523","55.4%","62958","54.8%","0.6pp"
"Radiant Strike","W","C","343144","5.07","49264","7.39","201181","67.4%","54.7%","33641","53.2%","51243","57.6%","84884","55.9%","115533","53.8%","2.1pp"
"Rayblade Trooper","W","U","78235","2.93","24010","3.47","133020","89.7%","56.4%","23193","58.6%","33297","58.5%","56490","58.6%","76158","54.8%","3.8pp"
"Reroute Systems","W","U","132275","4.93","17383","7.19","55938","53.8%","52.9%","9609","51.3%","13878","53.8%","23487","52.7%","32342","53.0%","-0.3pp"
"Rescue Skiff","W","U","119104","4.46","16959","6.39","55949","55.4%","52.5%","9094","48.7%","14231","55.3%","23325","52.7%","31738","52.2%","0.6pp"
"Scout for Survivors","W","U","141392","5.56","16771","8.32","33339","33.4%","52.0%","5356","47.2%","8344","54.3%","13700","51.6%","19597","52.2%","-0.7pp"
"Seam Rip","W","U","131529","4.90","17402","7.16","54142","51.8%","53.9%","9533","53.3%","13566","54.8%","23099","54.2%","30879","53.5%","0.7pp"
"The Seriema","W","R","26761","2.66","8971","2.77","36494","66.5%","56.6%","6246","61.2%","9069","59.4%","15315","60.1%","20573","53.8%","6.3pp"
"Squire's Lightblade","W","C","421348","7.43","46065","11.03","37705","13.5%","53.5%","6259","52.2%","8922","54.6%","15181","53.6%","22408","53.4%","0.2pp"
"Starfield Shepherd","W","U","72059","2.74","25424","3.13","138360","87.9%","56.3%","24861","58.2%","35070","59.1%","59931","58.7%","77950","54.4%","4.4pp"
"Starfighter Pilot","W","C","370832","5.63","51597","8.17","200542","64.2%","54.3%","36260","55.1%","47698","53.4%","83958","54.1%","116312","54.5%","-0.3pp"
"Starport Security","W","C","399144","6.48","47539","9.61","114456","39.5%","54.3%","20130","53.8%","26027","53.6%","46157","53.7%","60239","53.6%","0.0pp"
"Sunstar Chaplain","W","R","18291","1.85","10076","1.83","56578","90.0%","57.0%","10462","61.3%","14172","60.3%","24634","60.7%","31851","54.2%","6.5pp"
"Sunstar Expansionist","W","U","85617","3.12","23992","3.79","132002","89.4%","55.8%","23988","58.6%","32197","56.7%","56185","57.5%","75548","54.6%","2.9pp"
"Sunstar Lightsmith","W","U","88422","3.34","24130","4.03","128183","86.8%","55.4%","21898","55.8%","33253","57.1%","55151","56.6%","72790","54.5%","2.1pp"
"Wedgelight Rammer","W","U","114137","4.19","17034","5.89","67570","66.2%","54.0%","11499","53.6%","16794","55.4%","28293","54.7%","38106","53.2%","1.4pp"
"Weftblade Enhancer","W","C","368852","5.61","46031","8.38","152147","54.9%","53.6%","25128","50.9%","37668","55.2%","62796","53.5%","89079","53.6%","-0.1pp"
"Zealous Display","W","C","426565","7.85","46902","11.48","29487","10.4%","52.9%","4748","49.0%","6950","53.9%","11698","51.9%","17752","53.6%","-1.7pp"
"Annul","U","U","154695","6.18","19244","9.14","29918","26.3%","50.5%","5114","48.5%","8161","52.6%","13275","51.0%","16460","49.9%","1.1pp"
"Atomic Microsizer","U","U","168450","7.14","20523","10.60","10681","8.7%","50.3%","1795","45.4%","2871","51.4%","4666","49.1%","5921","51.2%","-2.1pp"
"Cerebral Download","U","U","129964","4.82","26395","6.47","105938","66.8%","54.0%","17338","51.3%","29968","57.3%","47306","55.1%","57751","53.0%","2.1pp"
"Cloudsculpt Technician","U","C","411555","7.03","50117","10.43","67283","22.5%","50.9%","11661","50.0%","18987","52.7%","30648","51.6%","36269","50.2%","1.4pp"
"Codecracker Hound","U","U","73359","2.82","35024","3.10","198723","91.4%","56.7%","35506","58.3%","56537","60.7%","92043","59.8%","104484","53.9%","5.9pp"
"Consult the Star Charts","U","R","23846","2.33","10458","2.45","54687","87.2%","54.4%","9805","52.5%","15338","58.3%","25143","56.0%","29016","52.9%","3.2pp"
"Cryogen Relic","U","C","241079","3.63","80395","4.31","441490","88.9%","56.3%","79874","58.4%","124076","59.6%","203950","59.1%","231870","53.8%","5.4pp"
"Cryoshatter","U","C","318557","4.64","68652","6.32","347808","83.3%","55.0%","59876","53.3%","98431","57.7%","158307","56.1%","185394","53.9%","2.1pp"
"Desculpting Blast","U","U","109233","3.89","29379","4.92","150945","84.0%","55.5%","26311","53.9%","42677","59.2%","68988","57.2%","80290","54.0%","3.2pp"
"Divert Disaster","U","C","390856","6.29","63404","8.89","183822","47.6%","55.3%","32539","56.3%","51174","57.0%","83713","56.7%","98863","54.0%","2.7pp"
"Emissary Escort","U","R","27942","2.72","9784","3.04","50027","84.8%","54.1%","8917","56.2%","13914","56.9%","22831","56.6%","26689","51.8%","4.9pp"
"Gigastorm Titan","U","U","97037","3.59","29943","4.36","155931","85.8%","55.0%","26402","55.6%","44965","57.3%","71367","56.7%","82964","53.5%","3.2pp"
"Illvoi Galeblade","U","C","396916","6.36","60263","9.13","168809","46.4%","54.0%","30266","54.0%","44700","55.2%","74966","54.7%","87820","52.9%","1.9pp"
"Illvoi Infiltrator","U","U","103608","3.87","25278","4.91","120216","79.7%","53.4%","21149","55.0%","33709","54.2%","54858","54.5%","64476","52.4%","2.1pp"
"Illvoi Light Jammer","U","C","412149","7.00","57603","10.14","96586","27.7%","53.9%","15968","53.2%","26506","56.3%","42474","55.1%","53339","52.8%","2.3pp"
"Illvoi Operative","U","C","391198","6.32","57938","9.12","168260","48.2%","53.4%","29853","53.5%","45909","54.2%","75762","53.9%","91348","52.8%","1.1pp"
"Lost in Space","U","C","398455","6.34","71989","8.81","224297","51.2%","55.5%","37433","52.8%","63791","58.4%","101224","56.3%","120985","54.6%","1.7pp"
"Mechan Assembler","U","U","92997","3.48","21807","4.44","106276","82.5%","52.4%","17662","50.5%","30749","55.3%","48411","53.6%","56625","51.3%","2.3pp"
"Mechan Navigator","U","U","120169","4.32","26081","5.75","125792","80.2%","54.1%","22750","55.5%","34522","55.0%","57272","55.2%","67719","53.1%","2.1pp"
"Mechan Shieldmate","U","C","407452","6.77","55521","9.88","123671","37.2%","52.1%","22112","51.8%","33806","53.3%","55918","52.7%","67043","51.6%","1.1pp"
"Mechanozoa","U","C","354460","5.33","58044","7.70","236852","67.6%","54.0%","39958","51.0%","68092","57.6%","108050","55.1%","125369","52.7%","2.5pp"
"Mental Modulation","U","C","409520","6.85","55524","9.97","97397","29.2%","52.9%","17015","50.4%","26959","55.3%","43974","53.4%","52632","52.5%","0.9pp"
"Mm'menon, the Right Hand","U","R","27643","2.78","7331","3.08","31458","74.5%","50.4%","5283","45.9%","9203","52.9%","14486","50.4%","16579","50.0%","0.4pp"
"Moonlit Meditation","U","R","55910","5.14","7103","7.99","4543","10.8%","44.8%","733","37.5%","1158","41.4%","1891","39.9%","2613","48.1%","-8.3pp"
"Mouth of the Storm","U","U","103724","3.89","34469","4.51","177597","83.7%","56.0%","29350","53.8%","51369","60.5%","80719","58.1%","95222","54.1%","4.0pp"
"Nanoform Sentinel","U","C","405070","6.81","57290","9.84","131905","38.2%","53.2%","23045","52.5%","36718","55.3%","59763","54.2%","71335","52.2%","2.0pp"
"Quantum Riddler","U","M","6798","1.42","5524","1.39","32672","92.7%","58.4%","5890","63.8%","9288","67.2%","15178","65.9%","17123","51.5%","14.4pp"
"Scour for Scrap","U","U","157255","6.16","25164","8.70","55285","36.5%","53.1%","9112","50.3%","16418","57.0%","25530","54.6%","29282","51.5%","3.1pp"
"Selfcraft Mechan","U","C","341886","5.11","72981","6.87","330846","74.6%","55.0%","55895","54.2%","96842","57.7%","152737","56.4%","174394","53.6%","2.8pp"
"Sinister Cryologist","U","C","429346","8.03","50121","11.67","14319","4.7%","48.8%","2475","44.2%","3766","50.3%","6241","47.9%","8007","49.4%","-1.6pp"
"Specimen Freighter","U","U","101787","3.75","24674","4.83","116570","78.4%","54.4%","19309","52.2%","32984","58.1%","52293","55.9%","62345","52.9%","3.0pp"
"Starbreach Whale","U","C","380021","5.87","55112","8.64","157042","47.6%","52.7%","27924","49.7%","44261","55.4%","72185","53.2%","83566","52.0%","1.1pp"
"Starfield Vocalist","U","R","22783","2.31","9697","2.43","49869","86.8%","53.1%","8463","50.9%","14106","55.5%","22569","53.8%","26906","52.4%","1.4pp"
"Starwinder","U","R","20632","2.14","10030","2.17","51800","86.2%","54.1%","8375","53.3%","14850","58.4%","23225","56.6%","28074","51.8%","4.8pp"
"Steelswarm Operator","U","U","127973","4.75","19834","6.71","75846","64.6%","51.9%","13507","51.8%","21092","52.7%","34599","52.4%","40752","51.5%","0.9pp"
"Synthesizer Labship","U","R","22061","2.21","11238","2.25","60356","87.3%","56.2%","10618","62.4%","17299","57.9%","27917","59.6%","31329","53.0%","6.7pp"
"Tractor Beam","U","U","83343","3.14","31663","3.62","171969","88.5%","55.8%","28757","55.2%","49647","59.9%","78404","58.2%","91146","53.4%","4.7pp"
"Unravel","U","U","151307","5.81","24783","8.18","64406","43.0%","54.1%","11078","52.3%","18830","57.3%","29908","55.4%","33928","52.7%","2.8pp"
"Uthros Psionicist","U","U","99348","3.78","30000","4.50","154278","84.4%","55.4%","27356","57.0%","43274","57.6%","70630","57.4%","82405","53.5%","3.9pp"
"Uthros Scanship","U","U","114313","4.15","26643","5.41","123982","76.4%","55.1%","20974","55.2%","35117","58.0%","56091","57.0%","66405","53.4%","3.6pp"
"Weftwalking","U","M","13837","2.74","6517","2.80","32845","82.6%","55.5%","5447","52.9%","9539","61.8%","14986","58.6%","17432","52.7%","5.9pp"
"Alpharael, Stonechosen","B","M","15052","2.98","2606","3.76","8346","54.9%","50.4%","1408","47.6%","2186","52.3%","3594","50.4%","4679","50.1%","0.3pp"
"Archenemy's Charm","B","R","31521","2.93","8488","3.48","40428","78.6%","54.6%","6957","53.4%","10984","59.0%","17941","56.9%","22284","52.7%","4.2pp"
"Beamsaw Prospector","B","C","331825","4.76","57722","6.74","288180","82.9%","54.2%","52268","55.1%","76044","54.8%","128312","54.9%","159168","53.5%","1.4pp"
"Blade of the Swarm","B","U","159326","6.30","17360","9.76","18736","17.9%","52.0%","3286","50.9%","4775","52.9%","8061","52.1%","10648","51.9%","0.2pp"
"Chorale of the Void","B","R","35271","3.42","6463","4.38","21810","58.6%","49.4%","3629","42.9%","5879","50.8%","9508","47.8%","12221","50.7%","-2.9pp"
"Comet Crawler","B","C","402216","6.61","49718","9.86","103312","34.5%","53.2%","17896","53.0%","27663","54.4%","45559","53.8%","57620","52.7%","1.2pp"
"Dark Endurance","B","C","426033","7.77","45816","11.53","16888","6.1%","51.7%","2784","48.0%","4207","54.6%","6991","51.9%","9876","51.5%","0.5pp"
"Decode Transmissions","B","C","399704","6.50","51577","9.60","118750","38.4%","52.7%","20445","49.6%","31234","54.8%","51679","52.8%","66694","52.7%","0.1pp"
"Depressurize","B","C","244642","3.58","62763","4.61","335518","88.0%","54.9%","59376","54.7%","90185","57.7%","149561","56.5%","184141","53.5%","3.0pp"
"Dubious Delicacy","B","U","63944","2.46","29834","2.72","169322","91.3%","56.9%","29949","58.3%","45665","62.1%","75614","60.6%","92305","53.7%","6.9pp"
"Elegy Acolyte","B","R","14235","1.49","10696","1.46","62640","92.7%","58.0%","10940","64.6%","17208","64.8%","28148","64.7%","34420","52.5%","12.3pp"
"Embrace Oblivion","B","C","339428","5.03","59294","7.04","264548","73.8%","54.6%","44594","52.9%","72501","57.7%","117095","55.9%","146259","53.6%","2.3pp"
"Entropic Battlecruiser","B","R","29600","2.87","6303","3.43","25799","70.0%","51.5%","4461","51.3%","6813","53.2%","11274","52.5%","14345","50.5%","1.9pp"
"Faller's Faithful","B","U","92954","3.41","28112","4.09","150523","87.5%","55.9%","25872","55.7%","40442","59.5%","66314","58.0%","83530","54.2%","3.8pp"
"Fell Gravship","B","U","90872","3.35","30574","3.89","165059","86.8%","57.1%","28392","58.7%","44586","61.3%","72978","60.3%","90676","54.4%","5.9pp"
"Gravblade Heavy","B","C","422795","7.48","46965","11.15","33789","12.0%","50.8%","5581","49.5%","9323","51.6%","14904","50.8%","18843","50.6%","0.2pp"
"Gravkill","B","C","209551","3.13","59424","3.93","324587","90.5%","54.3%","54838","52.9%","88288","58.1%","143126","56.1%","179500","52.9%","3.2pp"
"Gravpack Monoist","B","C","327646","4.74","64697","6.46","330980","83.6%","55.4%","58383","56.2%","88960","57.5%","147343","57.0%","182593","54.2%","2.9pp"
"Hullcarver","B","C","358210","5.32","53780","7.74","235353","72.2%","54.6%","41752","56.1%","61698","55.3%","103450","55.6%","126370","53.6%","2.1pp"
"Hylderblade","B","U","136727","5.11","21056","7.27","70165","55.6%","53.6%","12165","54.5%","18110","54.4%","30275","54.5%","39576","52.9%","1.6pp"
"Hymn of the Faller","B","U","127586","4.64","20489","6.50","80149","66.1%","52.3%","14381","48.3%","21150","53.8%","35531","51.6%","44372","52.8%","-1.2pp"
"Insatiable Skittermaw","B","C","398720","6.58","44052","10.04","81064","30.8%","51.7%","13975","50.5%","20969","52.5%","34944","51.7%","46062","51.7%","0.0pp"
"Lightless Evangel","B","U","120136","4.35","20605","6.05","87985","71.3%","53.5%","15633","53.6%","23127","53.6%","38760","53.6%","49070","53.4%","0.1pp"
"Monoist Circuit-Feeder","B","U","79714","3.01","29278","3.42","156764","87.0%","56.0%","25769","55.0%","43967","61.0%","69736","58.8%","85832","53.6%","5.1pp"
"Monoist Sentry","B","U","147618","5.50","20003","8.11","53124","44.6%","52.2%","9696","51.6%","13924","53.7%","23620","52.9%","28575","51.4%","1.5pp"
"Perigee Beckoner","B","C","354979","5.41","63762","7.40","275705","71.0%","55.3%","45930","54.0%","74501","58.2%","120431","56.6%","154409","54.1%","2.5pp"
"Requiem Monolith","B","R","24577","2.45","10210","2.59","51210","84.2%","53.6%","8740","55.4%","13468","55.2%","22208","55.3%","28776","52.2%","3.0pp"
"Scrounge for Eternity","B","U","148166","5.73","18632","8.58","34157","31.0%","50.5%","5745","45.5%","9146","51.3%","14891","49.1%","19188","51.4%","-2.4pp"
"Sothera, the Supervoid","B","M","10021","2.06","3747","2.11","18068","82.4%","51.7%","3167","51.3%","4962","53.4%","8129","52.6%","9844","51.1%","1.4pp"
"Sunset Saboteur","B","R","25812","2.54","11844","2.59","63672","86.4%","57.2%","11549","63.9%","16979","60.0%","28528","61.6%","34919","53.5%","8.1pp"
"Susurian Dirgecraft","B","U","116888","4.18","18472","5.94","72959","66.1%","53.1%","12031","50.9%","19838","56.0%","31869","54.1%","40483","52.2%","1.9pp"
"Susurian Voidborn","B","U","104082","3.76","20012","5.05","97116","81.4%","53.6%","16836","52.8%","25797","56.5%","42633","55.1%","54257","52.4%","2.6pp"
"Swarm Culler","B","C","389888","6.13","51878","9.03","148833","47.9%","52.7%","25055","49.9%","39920","54.0%","64975","52.4%","83650","52.8%","-0.4pp"
"Temporal Intervention","B","C","428097","8.03","48518","11.70","14892","5.1%","50.0%","2523","49.0%","3946","51.8%","6469","50.7%","8373","49.3%","1.4pp"
"Timeline Culler","B","U","114270","4.16","20624","5.64","98373","78.6%","55.3%","17570","56.8%","25230","56.4%","42800","56.6%","55531","54.4%","2.2pp"
"Tragic Trajectory","B","U","74204","2.78","25438","3.30","140628","90.4%","55.3%","24424","54.9%","38236","59.0%","62660","57.4%","77121","53.5%","3.9pp"
"Umbral Collar Zealot","B","U","88923","3.26","26258","3.95","144215","90.0%","55.5%","25893","57.6%","37822","57.3%","63715","57.4%","80150","53.9%","3.5pp"
"Virus Beetle","B","C","282407","4.04","70398","5.22","380452","88.8%","55.2%","68651","56.8%","102071","57.3%","170722","57.1%","207855","53.7%","3.5pp"
"Voidforged Titan","B","U","102543","3.75","20132","5.00","96514","80.8%","52.6%","16235","50.3%","26400","54.2%","42635","52.7%","53665","52.5%","0.3pp"
"Vote Out","B","U","79498","2.96","22978","3.63","123133","88.8%","54.4%","20798","53.1%","33137","57.4%","53935","55.7%","68565","53.3%","2.5pp"
"Xu-Ifit, Osteoharmonist","B","R","23245","2.33","8014","2.53","40943","85.7%","53.6%","7170","53.4%","10892","55.3%","18062","54.6%","22619","52.8%","1.7pp"
"Zero Point Ballad","B","R","18784","1.92","10380","1.94","56093","89.0%","54.9%","9602","54.9%","15393","59.6%","24995","57.8%","30735","52.5%","5.3pp"
"Bombard","R","C","295896","4.34","49494","6.04","232615","78.2%","53.8%","40194","52.1%","58288","55.6%","98482","54.2%","133389","53.5%","0.8pp"
"Cut Propulsion","R","U","106158","3.85","24051","5.00","123544","84.7%","54.9%","20919","53.2%","31142","57.6%","52061","55.8%","71051","54.2%","1.6pp"
"Debris Field Crusher","R","U","128786","4.75","16547","6.93","53257","53.8%","52.4%","8749","50.0%","13472","54.6%","22221","52.7%","30714","52.2%","0.6pp"
"Devastating Onslaught","R","M","12445","2.60","4262","2.73","21010","81.3%","55.0%","3498","54.2%","5380","59.9%","8878","57.6%","12035","52.9%","4.7pp"
"Drill Too Deep","R","C","423741","7.89","42347","11.83","12132","4.8%","48.7%","2055","46.4%","2944","50.4%","4999","48.8%","7129","48.5%","0.2pp"
"Frontline War-Rager","R","C","412709","7.20","42194","10.93","43153","17.0%","50.9%","7481","49.6%","10230","50.0%","17711","49.8%","25450","51.6%","-1.8pp"
"Full Bore","R","U","161857","6.56","17914","9.99","19354","18.0%","51.4%","3277","49.4%","4541","52.5%","7818","51.2%","11534","51.5%","-0.3pp"
"Galvanizing Sawship","R","U","137402","5.22","17914","7.54","51433","48.4%","51.3%","8371","46.3%","12847","52.5%","21218","50.1%","30041","52.0%","-2.0pp"
"Invasive Maneuvers","R","U","91649","3.34","21371","4.27","112985","86.9%","54.8%","19613","54.6%","27949","56.4%","47562","55.6%","65021","54.2%","1.4pp"
"Kav Landseeker","R","C","344785","5.13","63070","7.02","297946","76.8%","55.6%","50529","54.9%","74438","57.3%","124967","56.4%","172574","55.0%","1.4pp"
"Kavaron Harrier","R","U","117253","4.26","20478","5.77","95357","77.1%","54.5%","17152","58.2%","23162","54.7%","40314","56.2%","53908","53.2%","3.0pp"
"Kavaron Skywarden","R","C","413985","7.14","45609","10.72","53963","19.6%","51.8%","8807","50.1%","13594","52.9%","22401","51.8%","31663","51.8%","0.0pp"
"Kavaron Turbodrone","R","C","402306","6.66","47464","9.88","99863","35.1%","52.1%","17424","51.3%","23984","52.0%","41408","51.7%","58388","52.4%","-0.7pp"
"Lithobraking","R","U","153508","6.07","18196","9.14","28226","25.7%","52.1%","5050","49.3%","6861","53.3%","11911","51.6%","16274","52.5%","-0.8pp"
"Melded Moxite","R","C","377237","5.87","57264","8.32","210230","60.3%","55.0%","38226","55.6%","52048","56.4%","90274","56.0%","119476","54.2%","1.9pp"
"Memorial Team Leader","R","U","138430","5.17","17773","7.66","54580","50.8%","53.3%","9146","52.2%","13157","54.5%","22303","53.5%","32289","53.1%","0.4pp"
"Memorial Vault","R","R","59759","5.35","8237","7.96","9161","18.4%","50.6%","1505","46.5%","2491","53.3%","3996","50.7%","5137","50.5%","0.3pp"
"Molecular Modifier","R","U","127371","4.67","19503","6.57","82343","69.6%","53.9%","14489","53.8%","19833","54.8%","34322","54.4%","47983","53.6%","0.8pp"
"Nebula Dragon","R","C","401608","6.54","64344","9.13","183114","46.6%","55.3%","30082","52.4%","47060","58.7%","77142","56.2%","105642","54.6%","1.6pp"
"Nova Hellkite","R","R","15440","1.61","10208","1.58","57453","90.2%","56.7%","9928","60.0%","14647","63.7%","24575","62.2%","32727","52.6%","9.6pp"
"Orbital Plunge","R","C","265627","3.92","68541","4.95","366354","87.0%","55.6%","62424","55.0%","92912","58.6%","155336","57.2%","209516","54.5%","2.7pp"
"Oreplate Pangolin","R","C","338707","5.06","50674","7.24","235414","77.3%","53.7%","42208","54.4%","58447","53.5%","100655","53.9%","134279","53.6%","0.3pp"
"Pain for All","R","R","25582","2.56","7902","2.81","39472","83.1%","53.6%","6450","51.7%","9938","56.3%","16388","54.5%","22961","52.8%","1.8pp"
"Plasma Bolt","R","C","301200","4.40","53725","6.07","258096","78.8%","54.8%","44982","54.0%","64260","56.9%","109242","55.7%","148108","54.1%","1.5pp"
"Possibility Technician","R","R","19517","2.01","11191","1.98","62697","89.4%","57.0%","11273","61.6%","15796","60.3%","27069","60.8%","35431","53.9%","6.9pp"
"Red Tiger Mechan","R","C","401508","6.90","39078","10.59","51461","22.1%","49.7%","9036","47.4%","12618","50.7%","21654","49.4%","29732","49.9%","-0.6pp"
"Remnant Elemental","R","U","158365","6.16","19110","9.23","36230","31.6%","52.9%","6646","53.7%","8365","50.7%","15011","52.0%","21225","53.5%","-1.4pp"
"Rig for War","R","C","429013","8.03","46155","11.76","18053","6.5%","52.0%","2958","48.6%","4165","52.6%","7123","50.9%","10932","52.7%","-1.8pp"
"Roving Actuator","R","U","155367","6.02","19383","8.94","31715","27.2%","52.7%","5358","49.6%","8016","54.1%","13374","52.3%","18282","52.9%","-0.7pp"
"Ruinous Rampage","R","U","171963","7.39","17726","11.28","1954","1.8%","44.1%","324","","471","","795","42.6%","1160","45.0%","-2.4pp"
"Rust Harvester","R","R","23440","2.39","9514","2.46","48845","84.1%","55.1%","8667","58.1%","12567","58.2%","21234","58.2%","26830","52.5%","5.6pp"
"Slagdrill Scrapper","R","C","400725","6.58","52870","9.56","143667","44.9%","53.9%","25431","53.7%","36159","54.6%","61590","54.2%","80713","53.5%","0.7pp"
"Systems Override","R","U","151966","5.95","20744","8.60","42925","34.2%","54.2%","7120","51.7%","11145","58.7%","18265","56.0%","24622","52.9%","3.0pp"
"Tannuk, Steadfast Second","R","M","10025","2.04","3584","2.11","17545","82.0%","53.9%","3009","51.9%","4426","56.1%","7435","54.4%","10056","53.3%","1.1pp"
"Terminal Velocity","R","R","58885","5.43","7449","8.31","4779","10.7%","48.2%","779","46.0%","1235","45.7%","2014","45.8%","2759","49.9%","-4.1pp"
