"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Pull Through the Weft","G","U","164365","6.59","19418","9.91","17830","15.3%","51.0%","2904","46.7%","4386","52.1%","7290","50.0%","10518","51.8%","-1.8pp"
"Sami's Curiosity","G","C","346504","5.19","57026","7.35","235628","68.4%","54.1%","42930","55.7%","56288","52.3%","99218","53.8%","135901","54.3%","-0.5pp"
"Seedship Agrarian","G","U","65304","2.51","24538","2.89","139579","93.4%","55.2%","23870","55.6%","34751","56.9%","58621","56.4%","80760","54.4%","2.0pp"
"Seedship Impact","G","U","112983","4.10","27622","5.15","141436","82.5%","56.5%","24781","57.0%","34376","58.9%","59157","58.1%","81773","55.3%","2.8pp"
"Shattered Wings","G","C","411485","6.88","47838","10.34","67469","23.3%","52.1%","11305","48.8%","16382","53.5%","27687","51.5%","39622","52.4%","-0.8pp"
"Skystinger","G","C","407624","6.73","48666","10.09","81541","27.5%","53.3%","14348","51.9%","19306","53.4%","33654","52.8%","47841","53.7%","-0.9pp"
"Sledge-Class Seedship","G","R","27329","2.70","8449","3.00","40594","78.9%","55.3%","7038","58.1%","9765","56.1%","16803","57.0%","23661","54.1%","2.9pp"
"Tapestry Warden","G","U","138948","5.17","19307","7.55","57128","49.2%","53.1%","9557","51.7%","14011","54.8%","23568","53.6%","33514","52.8%","0.8pp"
"Terrasymbiosis","G","R","38080","3.77","5806","5.14","15020","44.3%","50.0%","2544","48.3%","3464","47.9%","6008","48.1%","9005","51.2%","-3.1pp"
"Thawbringer","G","C","382932","5.91","65199","8.23","264084","65.9%","55.8%","46682","54.9%","63032","56.0%","109714","55.6%","153911","56.0%","-0.4pp"
"Alpharael, Dreaming Acolyte","UB","U","133035","5.12","26538","6.62","95809","59.2%","55.6%","16765","58.2%","29606","59.0%","46371","58.7%","48451","52.3%","6.4pp"
"Biomechan Engineer","UG","U","80402","3.28","32561","3.50","170531","84.3%","57.1%","29873","61.3%","44303","59.7%","74176","60.4%","94944","54.5%","5.8pp"
"Biotech Specialist","RG","R","26535","2.75","10299","2.76","50459","79.2%","56.6%","8963","60.2%","12061","59.9%","21024","60.0%","29327","54.1%","5.9pp"
"Cosmogoyf","BG","R","64613","5.77","7885","9.09","375","0.8%","","84","","81","","165","","212","",""
"Dyadrine, Synthesis Amalgam","WG","R","27524","2.82","9321","2.98","42172","74.3%","55.6%","7240","56.5%","10055","58.2%","17295","57.5%","24155","53.8%","3.7pp"
"Genemorph Imago","UG","R","23364","2.52","12334","2.41","64610","84.0%","57.2%","11282","62.1%","16963","61.7%","28245","61.8%","35910","53.5%","8.4pp"
"Haliya, Ascendant Cadet","WG","U","108007","4.28","20310","5.48","81062","66.0%","54.6%","13499","54.0%","19008","56.0%","32507","55.2%","46823","53.7%","1.4pp"
"Infinite Guideline Station","WUBRG","R","64559","5.63","8277","8.76","1828","3.7%","48.2%","284","","478","","762","48.3%","1057","48.2%","0.0pp"
"Interceptor Mechan","BR","U","103409","3.92","25121","4.92","112853","74.0%","55.0%","18884","54.5%","29722","60.0%","48606","57.8%","64014","52.9%","4.9pp"
"Mm'menon, Uthros Exile","UR","U","119577","4.76","20784","6.32","72418","58.9%","52.2%","12550","52.7%","20133","53.7%","32683","53.3%","39132","51.1%","2.2pp"
"Mutinous Massacre","BR","R","31103","3.23","10637","3.33","45979","70.5%","55.7%","7656","55.7%","12375","62.1%","20031","59.6%","25882","52.7%","6.9pp"
"Pinnacle Emissary","UR","R","26964","2.87","9571","2.92","41196","71.6%","54.0%","7281","58.0%","11369","58.6%","18650","58.4%","21895","50.0%","8.4pp"
"Ragost, Deft Gastronaut","WR","R","48247","4.55","6966","6.61","12917","31.4%","51.3%","2297","50.4%","3013","51.4%","5310","51.0%","7376","51.0%","-0.1pp"
"Sami, Ship's Engineer","WR","U","137704","5.37","18310","7.84","43502","39.7%","52.1%","7380","51.2%","10369","51.4%","17749","51.3%","24732","52.2%","-0.9pp"
"Sami, Wildcat Captain","WR","M","18212","3.67","3007","4.86","7189","40.2%","50.1%","1192","49.2%","1713","52.0%","2905","50.9%","4165","49.1%","1.8pp"
"Seedship Broodtender","BG","U","135132","5.20","23601","7.04","72220","50.8%","53.6%","12597","54.2%","17664","55.8%","30261","55.2%","41852","52.5%","2.7pp"
"Singularity Rupture","UB","R","28649","2.93","10872","2.98","49751","75.1%","55.2%","8434","54.9%","15221","61.4%","23655","59.1%","25469","51.3%","7.8pp"
